Loading repository data...
Reading installed packages...
S | Repository         | Name                              | Current Version       | Available Version         | Arch  
v | SLES11-SP1-Updates | notification-daemon-lang          | 0.3.7-185.30.1        | 0.3.7-185.34.2            | x86_64
v | SLES11-SP1-Updates | nscd                              | 2.11.1-0.20.1         | 2.11.1-0.34.1             | x86_64
v | SLES11-SP1-Updates | ntp                               | 4.2.4p8-1.6.1         | 4.2.4p8-1.18.1            | x86_64
v | SLES11-SP1-Updates | openldap2-client                  | 2.4.20-0.9.1          | 2.4.26-0.12.1             | x86_64
v | SLES11-SP1-Updates | openslp                           | 1.2.0-172.18.1        | 1.2.0-172.22.1            | x86_64
v | SLES11-SP1-Updates | openslp-32bit                     | 1.2.0-172.18.1        | 1.2.0-172.22.1            | x86_64
v | SLES11-SP1-Updates | openslp-server                    | 1.2.0-172.18.1        | 1.2.0-172.22.1            | x86_64
v | SLES11-SP1-Updates | openssh-askpass                   | 5.1p1-41.31.36        | 5.1p1-41.51.1             | x86_64
v | SLES11-SP1-Updates | openssl                           | 0.9.8h-30.32.1        | 0.9.8j-0.28.1             | x86_64
v | SLES11-SP1-Updates | openssl-certs                     | 0.9.8h-27.1.30        | 0.9.8h-27.3.1             | noarch
v | SLES11-SP1-Updates | opie                              | 2.4-662.16            | 2.4-662.18.1              | x86_64
v | SLES11-SP1-Updates | opie-32bit                        | 2.4-662.16            | 2.4-662.18.1              | x86_64
v | SLES11-SP1-Updates | pam                               | 1.0.4-0.5.12          | 1.0.4-0.7.1               | x86_64
v | SLES11-SP1-Updates | pam-32bit                         | 1.0.4-0.5.12          | 1.0.4-0.7.1               | x86_64
v | SLES11-SP1-Updates | pam-doc                           | 1.0.4-0.5.12          | 1.0.4-0.7.1               | x86_64
v | SLES11-SP1-Updates | pam-modules                       | 11-1.6.15             | 11-1.22.1                 | x86_64
v | SLES11-SP1-Updates | pam-modules-32bit                 | 11-1.6.15             | 11-1.22.1                 | x86_64
v | SLES11-SP1-Updates | parted                            | 1.8.8-102.21.8        | 1.8.8-102.23.1            | x86_64
v | SLES11-SP1-Updates | parted-32bit                      | 1.8.8-102.21.8        | 1.8.8-102.23.1            | x86_64
v | SLES11-SP1-Updates | perl                              | 5.10.0-64.53.1        | 5.10.0-64.55.1            | x86_64
v | SLES11-SP1-Updates | perl-32bit                        | 5.10.0-64.53.1        | 5.10.0-64.55.1            | x86_64
v | SLES11-SP1-Updates | perl-Bootloader                   | 0.4.89.20-0.3.1       | 0.4.89.29-0.6.1           | x86_64
v | SLES11-SP1-Updates | perl-base                         | 5.10.0-64.53.1        | 5.10.0-64.55.1            | x86_64
v | SLES11-SP1-Updates | perl-doc                          | 5.10.0-64.53.1        | 5.10.0-64.55.1            | x86_64
v | SLES11-SP1-Updates | perl-libapparmor                  | 2.3-51.14             | 2.3-51.16.1               | x86_64
v | SLES11-SP1-Updates | perl-libwww-perl                  | 5.816-2.15            | 5.816-2.23.1              | x86_64
v | SLES11-SP1-Updates | perl-satsolver                    | 0.14.18-0.2.1         | 0.14.19-0.3.8             | x86_64
v | SLES11-SP1-Updates | permissions                       | 2011.2.15-0.3.1       | 2011.6.28-0.3.1           | x86_64
v | SLES11-SP1-Updates | pm-utils                          | 0.99.4.20071229-12.10 | 0.99.4.20071229-12.14.1   | x86_64
v | SLES11-SP1-Updates | pmtools                           | 20071116-44.18        | 20071116-44.20.2.1        | x86_64
v | SLES11-SP1-Updates | popt                              | 1.7-37.25.1           | 1.7-37.29.29.1            | x86_64
v | SLES11-SP1-Updates | popt-32bit                        | 1.7-37.25.1           | 1.7-37.29.29.1            | x86_64
v | SLES11-SP1-Updates | postfix                           | 2.5.6-5.4.21          | 2.5.6-5.10.1              | x86_64
v | SLES11-SP1-Updates | ppp                               | 2.4.5.git-2.23.10     | 2.4.5.git-2.27.1          | x86_64
v | SLES11-SP1-Updates | pulseaudio                        | 0.9.21-1.5.26         | 0.9.21-1.14.8             | x86_64
v | SLES11-SP1-Updates | pulseaudio-esound-compat          | 0.9.21-1.5.26         | 0.9.21-1.14.8             | x86_64
v | SLES11-SP1-Updates | pulseaudio-lang                   | 0.9.21-1.5.26         | 0.9.21-1.14.8             | x86_64
v | SLES11-SP1-Updates | pulseaudio-module-x11             | 0.9.21-1.5.26         | 0.9.21-1.14.8             | x86_64
v | SLES11-SP1-Updates | pulseaudio-utils                  | 0.9.21-1.5.26         | 0.9.21-1.14.8             | x86_64
v | SLES11-SP1-Updates | pwdutils                          | 3.2.8-0.2.35          | 3.2.8-0.4.1               | x86_64
v | SLES11-SP1-Updates | python                            | 2.6.0-8.10.1          | 2.6.0-8.14.1              | x86_64
v | SLES11-SP1-Updates | python-base                       | 2.6.0-8.10.1          | 2.6.0-8.14.1              | x86_64
v | SLES11-SP1-Updates | python-satsolver                  | 0.14.18-0.2.1         | 0.14.19-0.3.8             | x86_64
v | SLES11-SP1-Updates | python-tk                         | 2.6.0-8.10.1          | 2.6.0-8.14.1              | x86_64
v | SLES11-SP1-Updates | python-xml                        | 2.6.0-8.10.1          | 2.6.0-8.14.1              | x86_64
v | SLES11-SP1-Updates | rarian                            | 0.8.1-5.16            | 0.8.1-5.17.9              | x86_64
v | SLES11-SP1-Updates | release-notes-sles                | 11.1.1.1-0.2.1        | 11.1.1.9-0.6.1            | x86_64
v | SLES11-SP1-Updates | rpm                               | 4.4.2.3-37.25.1       | 4.4.2.3-37.29.29.1        | x86_64
v | SLES11-SP1-Updates | rpm-32bit                         | 4.4.2.3-37.25.1       | 4.4.2.3-37.29.29.1        | x86_64
v | SLES11-SP1-Updates | rsh                               | 0.17-706.16           | 0.17-706.18.1             | x86_64
v | SLES11-SP1-Updates | rsync                             | 3.0.4-2.33.82         | 3.0.4-2.38.1              | x86_64
v | SLES11-SP1-Updates | samba                             | 3.4.3-1.19.1          | 3.4.3-1.34.1              | x86_64
v | SLES11-SP1-Updates | samba-32bit                       | 3.4.3-1.19.1          | 3.4.3-1.34.1              | x86_64
v | SLES11-SP1-Updates | samba-client                      | 3.4.3-1.19.1          | 3.4.3-1.34.1              | x86_64
v | SLES11-SP1-Updates | samba-client-32bit                | 3.4.3-1.19.1          | 3.4.3-1.34.1              | x86_64
v | SLES11-SP1-Updates | samba-winbind                     | 3.4.3-1.19.1          | 3.4.3-1.34.1              | x86_64
v | SLES11-SP1-Updates | samba-winbind-32bit               | 3.4.3-1.19.1          | 3.4.3-1.34.1              | x86_64
v | SLES11-SP1-Updates | satsolver-tools                   | 0.14.18-0.2.1         | 0.14.19-0.3.8             | x86_64
v | SLES11-SP1-Updates | sax2                              | 8.1-561.29.2          | 8.1-561.548.7             | x86_64
v | SLES11-SP1-Updates | sax2-gui                          | 8.1-561.29.2          | 8.1-561.548.7             | x86_64
v | SLES11-SP1-Updates | sax2-ident                        | 8.1-561.29.2          | 8.1-561.548.7             | x86_64
v | SLES11-SP1-Updates | sax2-libsax                       | 8.1-561.29.2          | 8.1-561.548.7             | x86_64
v | SLES11-SP1-Updates | sax2-libsax-perl                  | 8.1-561.29.2          | 8.1-561.548.7             | x86_64
v | SLES11-SP1-Updates | sax2-tools                        | 8.1-561.29.2          | 8.1-561.548.7             | x86_64
v | SLES11-SP1-Updates | sblim-cmpi-base                   | 1.6.0-0.1.87          | 1.6.0-0.4.1               | x86_64
v | SLES11-SP1-Updates | sblim-sfcb                        | 1.3.7-0.11.1          | 1.3.7-0.17.1              | x86_64
v | SLES11-SP1-Updates | screen                            | 4.0.2-162.17          | 4.0.2-162.19.2.1          | x86_64
v | SLES11-SP1-Updates | sg3_utils                         | 1.28-0.3.5            | 1.28-0.5.1                | x86_64
v | SLES11-SP1-Updates | smartmontools                     | 5.38.0.20081027-2.14  | 5.38.0.20081027-2.16.2.1  | x86_64
v | SLES11-SP1-Updates | snmp-mibs                         | 5.4.2.1-8.5.1         | 5.4.2.1-8.12.6.1          | x86_64
v | SLES11-SP1-Updates | star                              | 1.5final-28.19        | 1.5final-28.21.1          | x86_64
v | SLES11-SP1-Updates | supportutils                      | 1.20-0.10.1           | 1.20-0.28.27.1            | noarch
v | SLES11-SP1-Updates | suseRegister                      | 1.4-1.11.1            | 1.4-1.13.1                | noarch
v | SLES11-SP1-Updates | suspend                           | 0.80.20081103-1.39.63 | 0.80.20081103-1.45.2      | x86_64
v | SLES11-SP1-Updates | sysconfig                         | 0.71.30-0.8.1         | 0.71.31-0.7.1             | x86_64
v | SLES11-SP1-Updates | syslog-ng                         | 2.0.9-27.28.3         | 2.0.9-27.32.1             | x86_64
v | SLES11-SP1-Updates | sysstat                           | 8.1.5-7.12.1          | 8.1.5-7.27.1              | x86_64
v | SLES11-SP1-Updates | sysvinit                          | 2.86-200.1            | 2.86-204.1                | x86_64
v | SLES11-SP1-Updates | tar                               | 1.20-23.23.1          | 1.26-1.2.4.1              | x86_64
v | SLES11-SP1-Updates | tcsh                              | 6.15.00-93.25.18      | 6.15.00-93.33.1           | x86_64
v | SLES11-SP1-Updates | tightvnc                          | 1.3.9-81.11.28        | 1.3.9-81.13.1             | x86_64
v | SLES11-SP1-Updates | timezone                          | 2011d-0.3.1           | 2011m-0.3.1               | x86_64
v | SLES11-SP1-Updates | tk                                | 8.5.5-3.12            | 8.5.5-3.14.1              | x86_64
v | SLES11-SP1-Updates | tk-32bit                          | 8.5.5-3.12            | 8.5.5-3.14.1              | x86_64
v | SLES11-SP1-Updates | util-linux                        | 2.16-6.11.1           | 2.16-6.13.1               | x86_64
v | SLES11-SP1-Updates | util-linux-lang                   | 2.16-6.11.1           | 2.16-6.13.1               | x86_64
v | SLES11-SP1-Updates | uuid-runtime                      | 2.16-6.11.1           | 2.16-6.13.1               | x86_64
v | SLES11-SP1-Updates | vino                              | 2.28.1-2.1.143        | 2.28.1-2.3.1              | x86_64
v | SLES11-SP1-Updates | vino-lang                         | 2.28.1-2.1.143        | 2.28.1-2.3.1              | x86_64
v | SLES11-SP1-Updates | xinetd                            | 2.3.14-130.10.1       | 2.3.14-130.131.1          | x86_64
v | SLES11-SP1-Updates | xkeyboard-config                  | 1.5-4.28.1            | 1.5-4.40.1                | noarch
v | SLES11-SP1-Updates | xorg-x11                          | 7.4-9.39.1            | 7.4-9.47.1                | x86_64
v | SLES11-SP1-Updates | xorg-x11-Xvnc                     | 7.4-27.30.1           | 7.4-27.40.56.1            | x86_64
v | SLES11-SP1-Updates | xorg-x11-driver-input             | 7.4-13.31.1           | 7.4-13.33.6               | x86_64
v | SLES11-SP1-Updates | xorg-x11-driver-video             | 7.4-40.26.20          | 7.4-40.32.4               | x86_64
v | SLES11-SP1-Updates | xorg-x11-libX11                   | 7.4-5.5               | 7.4-5.9.1                 | x86_64
v | SLES11-SP1-Updates | xorg-x11-libX11-32bit             | 7.4-5.5               | 7.4-5.9.1                 | x86_64
v | SLES11-SP1-Updates | xorg-x11-libs                     | 7.4-8.24.2            | 7.4-8.26.32.1             | x86_64
v | SLES11-SP1-Updates | xorg-x11-libs-32bit               | 7.4-8.24.2            | 7.4-8.26.32.1             | x86_64
v | SLES11-SP1-Updates | xorg-x11-server                   | 7.4-27.30.1           | 7.4-27.40.56.1            | x86_64
v | SLES11-SP1-Updates | xorg-x11-server-extra             | 7.4-27.30.1           | 7.4-27.40.56.1            | x86_64
v | SLES11-SP1-Updates | xorg-x11-xauth                    | 7.4-9.39.1            | 7.4-9.47.1                | x86_64
v | SLES11-SP1-Updates | yast2                             | 2.17.92-0.2.27        | 2.17.92.2-0.3.1           | x86_64
v | SLES11-SP1-Updates | yast2-ca-management               | 2.17.17-0.2.34        | 2.17.22-0.6.1             | noarch
v | SLES11-SP1-Updates | yast2-core                        | 2.17.35-0.2.17        | 2.17.35.3-0.3.1           | x86_64
v | SLES11-SP1-Updates | yast2-country                     | 2.17.48-0.2.2         | 2.17.50-0.4.1             | x86_64
v | SLES11-SP1-Updates | yast2-country-data                | 2.17.48-0.2.2         | 2.17.50-0.4.1             | x86_64
v | SLES11-SP1-Updates | yast2-http-server                 | 2.17.5-1.53           | 2.17.14-0.2.2             | noarch
v | SLES11-SP1-Updates | yast2-installation                | 2.17.75-0.2.13        | 2.17.76.1-0.3.1           | noarch
v | SLES11-SP1-Updates | yast2-iscsi-client                | 2.17.20-0.2.23        | 2.17.22-0.5.1             | noarch
v | SLES11-SP1-Updates | yast2-kerberos-server             | 2.17.7-0.1.164        | 2.17.8-0.6.2              | noarch
v | SLES11-SP1-Updates | yast2-ldap-client                 | 2.17.22-0.2.1.18      | 2.17.23-0.2.1             | noarch
v | SLES11-SP1-Updates | yast2-ncurses                     | 2.17.18-0.2.1         | 2.17.18.1-0.3.15          | x86_64
v | SLES11-SP1-Updates | yast2-ncurses-pkg                 | 2.17.17-0.2.2         | 2.17.17.1-0.4.1           | x86_64
v | SLES11-SP1-Updates | yast2-network                     | 2.17.141-0.3.10       | 2.17.155.2-0.3.8          | x86_64
v | SLES11-SP1-Updates | yast2-packager                    | 2.17.78-0.2.6         | 2.17.78.3-0.3.11          | x86_64
v | SLES11-SP1-Updates | yast2-pkg-bindings                | 2.17.45-0.2.10        | 2.17.45.5-0.3.1           | x86_64
v | SLES11-SP1-Updates | yast2-qt                          | 2.18.13-0.3.1         | 2.18.14-0.3.1             | x86_64
v | SLES11-SP1-Updates | yast2-registration                | 2.17.35-0.5.1         | 2.17.35.3-0.4.2.1         | noarch
v | SLES11-SP1-Updates | yast2-registration-branding-SLE   | 2.17.35-0.5.1         | 2.17.35.3-0.4.2.1         | noarch
v | SLES11-SP1-Updates | yast2-storage                     | 2.17.99-0.2.5         | 2.17.99.2-0.3.1           | x86_64
v | SLES11-SP1-Updates | yast2-storage-lib                 | 2.17.99-0.2.5         | 2.17.99.2-0.3.1           | x86_64
v | SLES11-SP1-Updates | yast2-users                       | 2.17.43-0.2.20        | 2.17.43.1-0.3.1           | x86_64
v | SLES11-SP1-Updates | yast2-wagon                       | 2.17.17-0.2.56        | 2.17.17.8-0.3.1           | noarch
v | SLES11-SP1-Updates | yast2-x11                         | 2.17.13-0.2.2         | 2.17.13.1-0.3.1           | noarch
v | SLES11-SP1-Updates | zypper                            | 1.3.12-0.3.1          | 1.3.16-0.3.7              | x86_64
